apn,SitusHouseNbr,SitusHouseNbrSuffix,SitusDirectionLeft,SitusStreet,SitusMode,SitusDirectionRight,SitusUnitType,SitusUnitNbr,SitusCity,SitusState,SitusZIP5,HomeEquityIntelScore_LineofCredit
131320-0820,24100,,SE,4TH,PL,,#,4,SAMMAMISH,WA,98074,
5455000260,5112,,,68TH,ST,W,,,UNIVERSITY PLACE,WA,98467,94
01062400001600,18527,,,93RD,ST,SE,,,SNOHOMISH,WA,98290,264
344800-1205,11746,,,25TH,AVE,NE,,,SEATTLE,WA,98125,92
6705002870,4309,,N,29TH,ST,,,,TACOMA,WA,98407,86
00783300000900,2203,,,112TH,DR,NE,,,LAKE STEVENS,WA,98258,178
7470022880,4517,,S,BELL,ST,,,,TACOMA,WA,98418,158
444380-0975,8020,,,27TH,AVE,NW,,,SEATTLE,WA,98117,61
025545-0370,24230,,SE,259TH,CT,,,,MAPLE VALLEY,WA,98038,163
3825000740,6640,,S,PUGET SOUND,AVE,,,,TACOMA,WA,98409,64
792300-0050,2614,,,163RD,PL,SE,,,BELLEVUE,WA,98008,96
00861531100800,21311,,,76TH,AVE,W,APT,8,EDMONDS,WA,98026,52
358276-0070,16963,,,65TH,LN,NE,,,KENMORE,WA,98028,61
00396700100800,5406,,,SOUND,AVE,,,,EVERETT,WA,98203,194
808830-0010,900,,,SUMMIT,AVE,E,APT,101,SEATTLE,WA,98102,256
6445100673,3320,,,JANE RUSSELLS,WAY,,,,TACOMA,WA,98409,41
2083050010,3215,,,TACOMA,AVE,S,,,TACOMA,WA,98418,
730320-0250,2805,,S,285TH,PL,,,,FEDERAL WAY,WA,98003,104
00865900001100,18531,,,BALLANTRAE,DR,,,,ARLINGTON,WA,98223,46
7615000451,61,,,QUEETS,ST,,,,STEILACOOM,WA,98388,174
542256-0100,6318,,,156TH,PL,NE,,,REDMOND,WA,98052,101
095500-0090,2214,,E,JOHN,ST,,,,SEATTLE,WA,98112,276
01007800002800,3510,,,170TH,ST,SW,,,LYNNWOOD,WA,98037,187
612180-0060,19609,,,4TH,AVE,S,,,DES MOINES,WA,98148,188
00769300004600,3918,,,119TH,PL,SE,,,EVERETT,WA,98208,238
01047400203000,15416,,,40TH,AVE,W,APT,30,LYNNWOOD,WA,98087,86
431770-0310,7328,,,40TH,AVE,SW,,,SEATTLE,WA,98136,59
00852400001400,107,,,ALDER,ST,,,,EVERETT,WA,98203,41
9008190100,906,,,72ND,ST,SE,,,AUBURN,WA,98092,96
124550-0545,1800,,,9TH,ST,W,,,KIRKLAND,WA,98033,176
539460-0105,2331,,,18TH,AVE,S,,,SEATTLE,WA,98144,
7002670210,19622,,,148TH,ST,E,,,BONNEY LAKE,WA,98391,168
026800-0200,14425,,NE,40TH,ST,,APT,C104,BELLEVUE,WA,98007,
0320324022,760,,S,93RD,ST,,,,TACOMA,WA,98444,68
5003660520,1409,,,177TH,ST,E,,,SPANAWAY,WA,98387,108
00410100000900,23129,,,84TH,AVE,W,,,EDMONDS,WA,98026,131
01013100007500,7925,,,135TH,ST,SE,,,SNOHOMISH,WA,98296,276
5345000112,5620,,E,N,ST,,,,TACOMA,WA,98404,165
01137600000900,9507,,,3RD,AVE,SE,,,EVERETT,WA,98208,111
30060800100800,12018,,,125TH,AVE,NE,,,LAKE STEVENS,WA,98258,231
4001070210,6408,,,91ST AVENUE,CT,W,,,UNIVERSITY PLACE,WA,98467,97
947795-0370,15751,,NE,95TH,WAY,,#,44,REDMOND,WA,98052,
785336-0480,34901,,SE,KELLER,ST,,,,SNOQUALMIE,WA,98065,256
066235-0090,480,,,150TH,PL,NE,,,BELLEVUE,WA,98007,166
0418335014,27320,,,100TH,AVE,E,,,GRAHAM,WA,98338,332
9801500390,3905,,,112TH STREET,CT,NW,,,GIG HARBOR,WA,98332,205
108131-0280,14426,,,161ST,AVE,SE,,,RENTON,WA,98059,155
00598000700300,19900,,,76TH,AVE,SE,,,SNOHOMISH,WA,98296,277
324160-0026,8827,,,36TH,AVE,S,,,SEATTLE,WA,98118,155
072306-9156,18225,,SE,121ST,PL,,,,RENTON,WA,98059,
00680500100900,4701,,,176TH,ST,SW,APT,A9,LYNNWOOD,WA,98037,49
0320214093,6027,,,A,ST,,,,TACOMA,WA,98408,207
390508-0660,25922,,SE,41ST,CT,,,,ISSAQUAH,WA,98029,158
00823400001600,15409,,,66TH,AVE,SE,,,SNOHOMISH,WA,98296,190
296880-0765,16238,,,16TH,AVE,SW,,,BURIEN,WA,98166,123
00851253120200,6531,,,200TH,ST,SW,APT,202,LYNNWOOD,WA,98036,97
074800-0085,14038,,,PALATINE,AVE,N,,,SEATTLE,WA,98133,326
001260-0080,2001,,NE,9TH,CT,,#,B,RENTON,WA,98056,124
886150-0075,8620,,,169TH,PL,NE,,,REDMOND,WA,98052,208
739890-0530,2020,,,GRANT,AVE,S,APT,D205,RENTON,WA,98055,
098420-0130,18839,,,129TH,PL,SE,,,RENTON,WA,98058,151
00866700011200,4032,,,167TH,ST,NE,#,A,ARLINGTON,WA,98223,
00756200000700,12628,,,56TH,AVE,NE,,,MARYSVILLE,WA,98271,103
5002620430,8821,,S,M,ST,,,,TACOMA,WA,98444,110
4001440570,4802,,,83RD,ST,SW,,,LAKEWOOD,WA,98499,83
01179000001400,3712,,,194TH,PL,SE,,,BOTHELL,WA,98012,171
00875000000800,23222,,,8TH,PL,W,,,BOTHELL,WA,98021,247
131091-0310,26833,,,DOWNING,AVE,,,,KENT,WA,98032,94
00806000001900,5419,,,64TH,AVE,NE,,,MARYSVILLE,WA,98270,150
6023950430,6206,,,120TH STREET,CT,E,,,PUYALLUP,WA,98373,261
00457600301300,250,,,6TH,ST,,,,GOLD BAR,WA,98251,97
912610-1261,717,,,22ND,AVE,,,,SEATTLE,WA,98122,116
797720-1685,7737,,,35TH,AVE,NE,,,SEATTLE,WA,98115,123
00624700005600,8707,,,14TH,ST,NE,,,LAKE STEVENS,WA,98258,
199320-0015,8252,,,ASHWORTH,AVE,N,,,SEATTLE,WA,98103,54
601120-0130,5000,,,LAKE WASHINGTON,BLVD,NE,UNIT,B101,RENTON,WA,98056,59
00887800001700,8555,,,282ND,ST,NW,,,STANWOOD,WA,98292,90
5310000040,5819,,,HILLCREST,DR,SW,,,LAKEWOOD,WA,98499,41
638511-0160,26113,,,11TH,PL,S,,,DES MOINES,WA,98198,106
409330-0050,13727,,,70TH,AVE,NE,,,KIRKLAND,WA,98034,244
00652700000800,3807,,,108TH,ST,SE,,,EVERETT,WA,98208,347
7580000692,6106,,,REID,DR,NW,,,GIG HARBOR,WA,98335,125
763680-0400,15009,,,28TH,AVE,SW,,,BURIEN,WA,98166,266
01000300001800,7726,,,153RD,ST,SE,,,SNOHOMISH,WA,98296,236
00805800003300,11811,,,18TH,ST,SE,,,LAKE STEVENS,WA,98258,254
083270-0340,444,,N,130TH,ST,,,,SEATTLE,WA,98133,
162606-9130,14616,,,216TH,AVE,NE,,,WOODINVILLE,WA,98077,173
404010-0760,12,,,145TH,PL,NE,,,BELLEVUE,WA,98007,225
6024020410,9016,,,160TH STREET,CT,E,,,PUYALLUP,WA,98375,105
32042200102000,27626,,,28TH,AVE,NW,,,STANWOOD,WA,98292,
7002541800,18327,,,134TH,ST,E,,,BONNEY LAKE,WA,98391,
00860300000500,6017,,,CHAMPIONSHIP,CIR,,,,MUKILTEO,WA,98275,211
2105200060,2107,,,INTER,AVE,,,,SUMNER,WA,98390,41
00783100000400,7609,,,72ND,DR,NE,,,MARYSVILLE,WA,98270,86
8935018180,3825,,S,J,ST,,,,TACOMA,WA,98418,183
327589-0240,4525,,,191ST,PL,NE,,,SAMMAMISH,WA,98074,135
389660-0750,12633,,,100TH,LN,NE,UNIT,H236,KIRKLAND,WA,98034,
00484400200200,8009,,,60TH,DR,NE,,,MARYSVILLE,WA,98270,250
0321266064,2965,,,40TH,AVE,NE,,,TACOMA,WA,98422,335
802420-1570,1515,,NE,100TH,ST,,,,SEATTLE,WA,98125,226
8000380420,642,,S,KNOWLES,ST,,,,BUCKLEY,WA,98321,109
122006-9063,40429,,,264TH,AVE,SE,,,ENUMCLAW,WA,98022,36
285610-0425,6534,,,26TH,AVE,NW,,,SEATTLE,WA,98117,397
891050-0105,11246,,,1ST,AVE,NW,,,SEATTLE,WA,98177,105
0122212048,11314,,,STATE ROUTE 302,,NW,,,GIG HARBOR,WA,98329,
00604000001100,17500,,,158TH,PL,SE,,,MONROE,WA,98272,61
01006300001300,1508,,,151ST,ST,SW,,,LYNNWOOD,WA,98087,227
721573-0340,1209,,,240TH,WAY,SE,,,SAMMAMISH,WA,98075,125
333050-0045,4501,,S,BRANDON,ST,,,,SEATTLE,WA,98118,64
00464700007700,4314,,,RIDGEMONT,DR,,,,EVERETT,WA,98203,
9356000100,1671,,S,60TH,ST,,,,TACOMA,WA,98408,
6955000051,2024,,E,GREGORY,ST,,,,TACOMA,WA,98404,63
0420336001,1011,,,15TH,AVE,SW,,,PUYALLUP,WA,98371,171
192830-0830,823,,NE,59TH,ST,,,,SEATTLE,WA,98105,
0319366033,4014,,,180TH,ST,E,,,TACOMA,WA,98446,162
00913500001500,2202,,,180TH,ST,SW,,,LYNNWOOD,WA,98037,72
01129700001200,1614,,,145TH,PL,SW,#,B,LYNNWOOD,WA,98087,
143260-0250,15770,,,119TH,PL,SE,,,RENTON,WA,98058,171
00853000200100,8828,,,238TH,ST,SW,APT,B1,EDMONDS,WA,98026,137
00384100001500,1310,,,SKYWALL,DR,,,,SULTAN,WA,98294,141
7816320930,5103,,,219TH STREET,CT,E,,,SPANAWAY,WA,98387,
894450-0020,6711,,S,239TH,PL,,#,102,KENT,WA,98032,85
142180-0250,2420,,,8TH,AVE,N,APT,102,SEATTLE,WA,98109,
259777-0070,707,,N,161ST,PL,,#,A107,SEATTLE,WA,98133,
894635-1160,2607,,,WESTERN,AVE,,APT,607,SEATTLE,WA,98121,143
720230-0500,9418,,,221ST,PL,NE,,,REDMOND,WA,98053,308
4001480560,5118,,,79TH,ST,W,,,LAKEWOOD,WA,98499,117
00536200000103,21605,,,CHINOOK,RD,,,,WOODWAY,WA,98020,
00437442701701,2002,,,RUCKER,AVE,,,,EVERETT,WA,98201,147
00857000008300,7508,,,86TH,PL,NE,,,MARYSVILLE,WA,98270,99
00584100005200,2822,,,STAFFORD,WAY,,,,BOTHELL,WA,98012,332
28072200302900,11426,,,BOLLENBAUGH HILL,RD,,,,MONROE,WA,98272,89
5004500030,302,,,LARCHMOUNT,CT,,,,TACOMA,WA,98445,97
446850-0220,500,,,5TH,AVE,W,UNIT,504,SEATTLE,WA,98119,122
0319143048,13822,,,30TH,AVE,E,,,TACOMA,WA,98446,254
500950-0100,19803,,,GREENWOOD,PL,N,,,SHORELINE,WA,98133,265
01174700002100,10028,,,1ST,PL,NE,,,LAKE STEVENS,WA,98258,156
00647200001700,14205,,,61ST,PL,W,,,EDMONDS,WA,98026,107
688480-0445,8033,,,BROOKLYN,AVE,NE,,,SEATTLE,WA,98115,176
785996-0050,13105,,NE,185TH,ST,,,,WOODINVILLE,WA,98072,229
317910-0340,5054,,,PULLMAN,AVE,NE,,,SEATTLE,WA,98105,160
273410-1055,6426,,,FLORA,AVE,S,,,SEATTLE,WA,98108,134
9220200090,649,,S,MEYERS,ST,,,,TACOMA,WA,98465,106
197220-1370,722,,N,36TH,ST,,,,SEATTLE,WA,98103,157
281060-0026,4300D,,SW,WILLOW,ST,,,,SEATTLE,WA,98136,284
00809200001500,17612,,,OSPREY,RD,,,,ARLINGTON,WA,98223,114
535020-1155,1429,,,MADRONA,DR,,,,SEATTLE,WA,98122,133
912610-0817,2121,,E,TERRACE,ST,,,,SEATTLE,WA,98122,177
00667400002800,17017,,,28TH,DR,SE,,,BOTHELL,WA,98012,174
127400-0510,17855,,SE,266TH,PL,,,,COVINGTON,WA,98042,95
953890-0090,2203,,,135TH,PL,SE,,,BELLEVUE,WA,98005,57
793600-0562,4700,,,51ST,PL,SW,,,SEATTLE,WA,98116,127
813670-0025,2824,,,31ST,AVE,W,,,SEATTLE,WA,98199,315
170305-0490,2201,,,238TH,PL,NE,,,SAMMAMISH,WA,98074,199
00690300002900,12717,,,48TH,AVE,NE,,,MARYSVILLE,WA,98271,89
01128000000100,11018,,,137TH,AVE,NE,,,LAKE STEVENS,WA,98258,150
955802-0090,17143,,,164TH,WAY,SE,,,RENTON,WA,98058,114
362995-0020,1815,,NE,KENYON,CT,,,,ISSAQUAH,WA,98029,116
00541900000801,6107,,,EAST,DR,,,,EVERETT,WA,98203,178
602150-3706,7544,,,A 24TH,AVE,NW,,,,WA,,
01009700200100,15611,,,18TH,AVE,W,#,B-1,LYNNWOOD,WA,98087,
9505100120,1807,,,19TH AVENUE,CT,,,,MILTON,WA,98354,118
797260-4412,9412,,,8TH,AVE,SW,,,SEATTLE,WA,98106,163
00590900003100,5910,,,63RD,AVE,NE,,,MARYSVILLE,WA,98270,170
0420344015,1805,,,9TH,ST,SE,,,PUYALLUP,WA,98372,
038000-0660,19230,,,FOREST PARK,DR,NE,APT,H227,LAKE FOREST PARK,WA,98155,37
354230-0065,2641,,NE,20TH,ST,,,,RENTON,WA,98056,79
5003580410,19222,,,26TH AVENUE,CT,E,,,SPANAWAY,WA,98387,160
2915000320,8209,,S,D,ST,,,,TACOMA,WA,98408,65
344350-0080,14701,,,BEAR CREEK,LN,NE,,,WOODINVILLE,WA,98077,90
739040-0123,7204,,S,LANGSTON,RD,,,,SEATTLE,WA,98178,114
9180201290,2917,,,CRYSTAL SPRINGS,RD,W,,,UNIVERSITY PLACE,WA,98466,158
6022360190,13102,,,89TH,AVE,E,,,PUYALLUP,WA,98373,312
192304-9128,15722,,,14TH,PL,SW,,,BURIEN,WA,98166,126
332951-0620,5311,,S,300TH,PL,,,,AUBURN,WA,98001,109
152925-0050,15186,,,132ND,AVE,NE,,,WOODINVILLE,WA,98072,110
330090-0070,19619,,,4TH,AVE,NW,,,SHORELINE,WA,98177,147
781280-0410,7206,,S,116TH,ST,,,,SEATTLE,WA,98178,98
0319165027,12807,,,6TH AVENUE,CT,E,,,TACOMA,WA,98445,167
01019400004300,11811,,,59TH,DR,SE,,,SNOHOMISH,WA,98296,234
032206-9107,23205,,SE,192ND,ST,,,,MAPLE VALLEY,WA,98038,
0420258022,14807,,,RIVERGROVE,DR,E,,,SUMNER,WA,98390,264
6025300090,19111,,,76TH AVENUE,CT,E,,,PUYALLUP,WA,98375,158
00843100000200,8211,,,74TH,PL,NE,,,MARYSVILLE,WA,98270,109
0121023003,8606,,,DAVID DAY,DR,NW,,,GIG HARBOR,WA,98332,98
00840800000800,6202,,,72ND,ST,NE,,,MARYSVILLE,WA,98270,78
724200-0510,812,,,5TH,AVE,N,APT,403,SEATTLE,WA,98109,
730040-0250,30023,,,128TH,CT,SE,,,AUBURN,WA,98092,169
00842800002400,5612,,,137TH,PL,SE,,,EVERETT,WA,98208,224
983420-0515,3218,,,36TH,AVE,S,,,SEATTLE,WA,98144,149
545880-0045,7628,,SE,34TH,ST,,,,MERCER ISLAND,WA,98040,121
01154400003800,19662,,,135TH,ST,SE,,,MONROE,WA,98272,164
751750-0070,4609,,,GREENWOOD,AVE,N,,,SEATTLE,WA,98103,
661040-0090,1100,,,106TH,AVE,NE,APT,204,BELLEVUE,WA,98004,105
745400-0895,9901,,,31ST,AVE,SW,,,SEATTLE,WA,98126,243
027950-1130,700,,,FRONT,ST,S,UNIT,E109,ISSAQUAH,WA,98027,
123850-0400,9260,,,124TH,AVE,NE,,,KIRKLAND,WA,98033,65
954250-0040,1409,,,127TH,AVE,SE,,,BELLEVUE,WA,98005,188
785219-0550,7023,,,COOK,CT,SE,,,SNOQUALMIE,WA,98065,252
01093400002300,21814,,,31ST,DR,SE,,,BOTHELL,WA,98021,279
9265001680,1640,,,WHEELER,ST,S,,,TACOMA,WA,98444,142
941060-0110,13715,,NE,133RD,PL,,,,KIRKLAND,WA,98034,216
080900-1150,1707,,,NOB HILL,AVE,N,,,SEATTLE,WA,98109,251
00905500003600,6410,,,81ST,DR,NE,,,MARYSVILLE,WA,98270,96
202570-0590,28022,,,231ST,PL,SE,,,MAPLE VALLEY,WA,98038,111
00590900012300,6005,,,60TH,PL,NE,,,MARYSVILLE,WA,98270,129
333940-0287,30620,,,108TH,AVE,SE,,,AUBURN,WA,98092,258
062106-9203,29004,,,189TH,PL,SE,,,KENT,WA,98042,176
547830-0075,606,,,CREST,AVE,,,,KENT,WA,98030,
28050700103800,7025,,,COLBY,AVE,,,,EVERETT,WA,98203,
424940-0190,20011,,,131ST,PL,NE,,,WOODINVILLE,WA,98072,
012605-9133,19930,,,170TH,AVE,NE,,,WOODINVILLE,WA,98072,413
642080-0100,4123,,,CALIFORNIA,AVE,SW,APT,208,SEATTLE,WA,98116,
894450-0720,6716,,S,238TH,PL,,,,KENT,WA,98032,49
856365-0330,19006,,,175TH,PL,SE,,,RENTON,WA,98058,159
058500-0635,5016,,SW,WAITE,ST,,,,SEATTLE,WA,98116,290
00450701200003,9716,,,224TH,ST,SW,,,EDMONDS,WA,98020,90
01000900003200,6608,,,198TH,PL,SW,,,LYNNWOOD,WA,98036,256
27051400107400,8009,,,188TH,ST,SE,,,SNOHOMISH,WA,98296,
179590-0800,17146,,NE,140TH,CT,,,,REDMOND,WA,98052,107
00882101010300,18930,,,BOTHELL EVERETT,HWY,,APT,J103,BOTHELL,WA,98012,162
542281-0060,3281,,,LARSEN,AVE,,,,ENUMCLAW,WA,98022,321
30053500300500,7114,,,52ND,ST,NE,,,MARYSVILLE,WA,98270,
918370-0785,817,,E,GUIBERSON,ST,,,,KENT,WA,98030,138
869810-0110,115,,,E,ST,SE,,,AUBURN,WA,98002,260
241995-0090,12723,,NE,103RD,PL,,,,KIRKLAND,WA,98033,347
795030-2015,4163,,,38TH,AVE,S,,,SEATTLE,WA,98118,
291070-0380,13741,,,15TH,AVE,NE,APT,C8,SEATTLE,WA,98125,128
4490000640,2911,,S,WARNER,ST,,,,TACOMA,WA,98409,93
9003750220,1113,,,61ST,ST,SE,#,D-15,AUBURN,WA,98092,
774550-0105,16702,,,39TH,PL,NE,,,LAKE FOREST PARK,WA,98155,92
214133-0220,4902,,,159TH,PL,SE,,,BELLEVUE,WA,98006,170
00556000200300,1016,,,GLEN,ST,,,,EDMONDS,WA,98020,61
258680-0170,11006,,,11TH,AVE,SW,,,SEATTLE,WA,98146,281
00898100003100,19403,,,VISTA,DR,,,,ARLINGTON,WA,98223,38
856279-0630,2547,,NW,ALPINE CREST,WAY,,,,ISSAQUAH,WA,98027,237
294450-0430,34226,,,30TH,AVE,SW,,,FEDERAL WAY,WA,98023,101
608300-0062,2238,,S,132ND,ST,,,,SEATAC,WA,98168,60
00906300001300,5813,,,52ND,AVE,NE,,,MARYSVILLE,WA,98270,230
00935200000800,18001,,,8TH,PL,W,,,LYNNWOOD,WA,98037,232
150790-0060,8371,,NE,140TH,ST,,,,KIRKLAND,WA,98034,174
785070-0020,1510,,,ETHAN WADE,WAY,SE,#,B,SNOQUALMIE,WA,98065,47
143100-0010,34,,W,ETRURIA,ST,,APT,1,SEATTLE,WA,98119,104
285860-0003,3550,,SW,98TH,ST,,,,SEATTLE,WA,98126,105
182406-9050,18170,,SE,41ST,PL,,,,ISSAQUAH,WA,98027,172
32063400301400,14723,,,JIM CREEK,RD,,,,ARLINGTON,WA,98223,130
911320-0320,13309,,NE,92ND,WAY,,,,REDMOND,WA,98052,83
123940-0220,401,,,SLATER,ST,S,,,KIRKLAND,WA,98033,133
919120-1820,5101,,,27TH,AVE,NE,,,SEATTLE,WA,98105,
2560500200,7715,,,191ST,AVE,E,,,BONNEY LAKE,WA,98391,188
9505000280,4514,,,WESTWOOD,SQ,W,,,UNIVERSITY PLACE,WA,98466,92
5230000270,8510,,,LEONA,WAY,SW,,,LAKEWOOD,WA,98499,
720310-1720,11038,,,ELLISTON,WAY,NE,,,REDMOND,WA,98053,124
01051600510300,11527,,,HIGHWAY 99,,,APT,E103,EVERETT,WA,98204,
412383-0350,26110,,,LAKE WILDERNESS COUNTRY CLUB,DR,SE,,,MAPLE VALLEY,WA,98038,132
178930-0020,12614,,NE,140TH,ST,,,,KIRKLAND,WA,98034,200
402290-1413,3349,,NE,202ND,ST,,,,LAKE FOREST PARK,WA,98155,34
209560-0110,22629,,,102ND,PL,SE,,,KENT,WA,98031,185
4446100040,3021,,,28TH,AVE,SE,,,PUYALLUP,WA,98374,115
0619295008,16419,,,270TH,AVE,E,,,BUCKLEY,WA,98321,88
29051700401100,1513,,,CEDAR,ST,,,,EVERETT,WA,98201,103
252530-0220,26502,,,235TH,AVE,SE,,,MAPLE VALLEY,WA,98038,96
872595-0230,10590,,NE,12TH,ST,,,,BELLEVUE,WA,98004,138
277110-1964,3613,,,GILMAN,AVE,W,,,SEATTLE,WA,98199,172
362603-9174,927,,NW,105TH,ST,,,,SEATTLE,WA,98177,223
4002360370,4820,,,70TH,AVE,W,,,UNIVERSITY PLACE,WA,98467,124
01153400001400,224,,,157TH,PL,SW,,,LYNNWOOD,WA,98087,152
762870-0080,3117,,SW,SPOKANE,ST,,,,SEATTLE,WA,98126,98
7002340190,14415,,,192ND AVENUE,CT,E,,,BONNEY LAKE,WA,98391,329
888130-0050,13635,,SE,89TH,PL,,,,NEWCASTLE,WA,98059,175
00695700001000,4605,,,133RD,PL,NE,,,MARYSVILLE,WA,98271,37
501600-1365,306,,,26TH,AVE,E,,,SEATTLE,WA,98112,
021940-0105,3339,,,56TH,AVE,SW,,,SEATTLE,WA,98116,130
2040290080,1415,,N,10TH,ST,,,,TACOMA,WA,98403,121
00714900130200,12906,,,8TH,AVE,W,APT,A302,EVERETT,WA,98204,116
0320343090,9129,,,GOLDEN GIVEN,RD,E,,,TACOMA,WA,98445,66
00760000007400,3625,,,122ND,PL,SE,,,EVERETT,WA,98208,249
0418128021,14204,,,216TH,ST,E,,,GRAHAM,WA,98338,132
9006930310,1501,,,TACOMA,AVE,S,UNIT,219,TACOMA,WA,98402,111
357840-1730,22615,,NE,12TH,PL,,,,SAMMAMISH,WA,98074,271
4163000290,906,,,PIERCE,ST,,,,STEILACOOM,WA,98388,66
00731900005000,1233,,,232ND,PL,SW,,,BOTHELL,WA,98021,161
01045600610100,12404,,E,GIBSON,RD,,APT,F101,EVERETT,WA,98204,76
9007460080,1506,,,73RD,ST,SE,,,AUBURN,WA,98092,57
2505550130,15722,,,39TH AVENUE,CT,E,,,TACOMA,WA,98446,257
440680-0055,239,,SW,184TH,ST,,,,NORMANDY PARK,WA,98166,244
414090-0315,18813,,,57TH,AVE,NE,,,KENMORE,WA,98028,91
309950-0035,1426,,,MARION,ST,,,,ENUMCLAW,WA,98022,172
525450-0050,16633,,,STONE,AVE,N,,,SHORELINE,WA,98133,
2036280080,1401,,N,6TH,ST,,,,TACOMA,WA,98403,132
00494511501300,16710,,W,LAKE GOODWIN,RD,,,,STANWOOD,WA,98292,134
112503-9115,5511,,,28TH,AVE,NW,UNIT,C,SEATTLE,WA,98107,140
01072600001800,3614,,,114TH,CT,NE,,,LAKE STEVENS,WA,98258,36
351050-0130,11645,,,18TH,AVE,SW,,,BURIEN,WA,98146,276
616390-1392,17216,,,11TH,AVE,NE,,,SHORELINE,WA,98155,147
609319-0230,911,,N,73RD,ST,,APT,406,SEATTLE,WA,98103,97
684470-3670,3848,,NE,93RD,ST,,,,SEATTLE,WA,98115,188
770850-0170,8016,,NE,142ND,ST,,,,KIRKLAND,WA,98034,161
265250-2345,2410,,,3RD,AVE,W,,,SEATTLE,WA,98119,118
00411800101700,815,,,BAIRD,AVE,,,,SNOHOMISH,WA,98290,57
01066500000700,123,,,195TH,PL,SW,,,BOTHELL,WA,98012,128
8002020470,14611,,,29TH AVENUE,CT,E,,,TACOMA,WA,98445,123
029305-0720,973,,NE,INGRAM,ST,,#,A104,ISSAQUAH,WA,98029,104
00373000100301,17326,,,NORTH,RD,,,,BOTHELL,WA,98012,58
00761600001800,10927,,,3RD,DR,SE,,,EVERETT,WA,98208,
712930-3270,6026,,S,ROXBURY,ST,,,,SEATTLE,WA,98118,278
337540-0110,1605,,,5TH,AVE,N,APT,501,SEATTLE,WA,98109,89
793600-0652,4722,,,48TH,AVE,SW,,,SEATTLE,WA,98116,231
00501900101202,19001,,,48TH,AVE,W,,,LYNNWOOD,WA,98036,175
8935022580,765,,S,41ST,ST,,,,TACOMA,WA,98418,93
00521400700201,23204,,,LA PIERRE,DR,,,,MOUNTLAKE TERRACE,WA,98043,
00706800000500,15529,,,45TH,AVE,W,,,LYNNWOOD,WA,98087,132
00408601400700,6108,,,CHENNAULT BEACH,DR,,,,MUKILTEO,WA,98275,260
27052800411100,22428,,,44TH,DR,SE,,,BOTHELL,WA,98021,188
446850-0190,500,,,5TH,AVE,W,UNIT,501,SEATTLE,WA,98119,129
01151100001200,14226,,,24TH,AVE,W,,,LYNNWOOD,WA,98087,162
885765-0110,1826,,,4TH,PL,SE,,,AUBURN,WA,98002,103
01169000003200,10217,,,15TH,PL,SE,,,LAKE STEVENS,WA,98258,284
335850-0890,8125,,W,MERCER,WAY,,,,MERCER ISLAND,WA,98040,131
27032500107300,9618,,,214TH,PL,SW,,,EDMONDS,WA,98020,145
752387-0070,1317,,S,251ST,CT,,,,DES MOINES,WA,98198,96
27043600101200,23506,,,MERIDIAN,AVE,S,,,BOTHELL,WA,98021,124
30052700106700,7126,,,61ST,DR,NE,,,MARYSVILLE,WA,98270,194
00708000001500,7306,,,7TH,DR,W,,,EVERETT,WA,98203,25
277060-1815,3242,,,22ND,AVE,W,,,SEATTLE,WA,98199,185
287210-2090,3017,,NW,71ST,ST,,,,SEATTLE,WA,98117,
381000-0287,11433,,,84TH,AVE,S,,,SEATTLE,WA,98178,209
6026882570,8400,,,31ST STREET,CT,E,,,EDGEWOOD,WA,98371,139
029366-0020,1605,,N,183RD,ST,,#,2,SHORELINE,WA,98133,
5002270570,2601,,,168TH STREET,CT,E,,,TACOMA,WA,98445,326
00841300004600,6902,,,77TH,AVE,NE,,,MARYSVILLE,WA,98270,112
3001230020,5605,,,122ND STREET,CT,NW,,,GIG HARBOR,WA,98332,206
00888300000800,19420,,,4TH,AVE,W,,,LYNNWOOD,WA,98036,230
7002060910,18022,,,121ST,AVE,E,,,PUYALLUP,WA,98374,189
068300-0070,860,,,100TH,AVE,NE,APT,37,BELLEVUE,WA,98004,74
262404-9115,5134,,S,MEDLEY,CT,,,,SEATTLE,WA,98118,267
226450-0170,1502,,N,36TH,ST,,,,SEATTLE,WA,98103,255
00754700000300,2805,,,211TH,ST,SW,,,LYNNWOOD,WA,98036,151
390508-1110,25728,,SE,42ND,WAY,,,,SAMMAMISH,WA,98029,274
4002541000,11470,,,PORTAGE,PL,,,,GIG HARBOR,WA,98332,77
27060100101300,350,,,ORR,ST,,,,MONROE,WA,98272,116
00372700602310,17230,,,43RD,PL,W,,,LYNNWOOD,WA,98037,141
235430-0872,265,,SE,BUSH,ST,,,,ISSAQUAH,WA,98027,
555030-0235,8133,,,27TH,AVE,SW,,,SEATTLE,WA,98126,431
182205-9121,22836,,,96TH,AVE,S,,,KENT,WA,98031,343
8910001290,2820,,N,CARR,ST,,,,TACOMA,WA,98403,120
00553101500400,2810,,,21ST,ST,,,,EVERETT,WA,98201,162
178730-0120,23138,,NE,57TH,ST,,,,REDMOND,WA,98053,134
0122228005,13409,,,94TH,AVE,NW,,,GIG HARBOR,WA,98329,181
413700-0410,5002,,,MILL POND,LOOP,SE,,,AUBURN,WA,98092,82
01138400002200,3220,,,170TH,PL,SE,,,BOTHELL,WA,98012,313
217450-2700,2809,,,61ST,AVE,SE,,,MERCER ISLAND,WA,98040,
883290-0300,5702,,NE,182ND,ST,,,,KENMORE,WA,98028,
