apn,SitusHouseNbr,SitusHouseNbrSuffix,SitusDirectionLeft,SitusStreet,SitusMode,SitusDirectionRight,SitusUnitType,SitusUnitNbr,SitusCity,SitusState,SitusZIP5,HomeEquityIntelScore_LineofCredit
002350-0530,16716,,NE,102ND,PL,,,,REDMOND,WA,98052,288
00940700004500,2615,,,97TH,PL,SE,,,EVERETT,WA,98208,250
01097100000100,11308,,,22ND,ST,SE,#,1,LAKE STEVENS,WA,98258,90
2545050200,8339,,,ZIRCON,DR,SW,#,B-20,LAKEWOOD,WA,98498,164
122303-9172,11636,,,23RD,AVE,SW,,,BURIEN,WA,98146,186
891050-0190,11250,,,PALATINE,AVE,N,,,SEATTLE,WA,98133,115
282800-0090,15636,,NE,106TH,WAY,,,,REDMOND,WA,98052,
00611600012507,4803,,,91ST,CT,SW,,,MUKILTEO,WA,98275,127
190410-0040,3811,,SW,BARTON,ST,,,,SEATTLE,WA,98126,
113740-0270,5104,,NE,11TH,ST,,,,RENTON,WA,98059,
140297-0110,11518,,SE,302ND,CT,,,,AUBURN,WA,98092,257
00914700100300,4207,,,144TH,ST,SE,,,SNOHOMISH,WA,98296,159
29060200304100,16428,,,29TH,PL,NE,,,SNOHOMISH,WA,98290,331
359700-0063,14741,,,62ND,AVE,S,,,TUKWILA,WA,98168,80
329871-0100,13012,,SE,266TH,PL,,,,KENT,WA,98030,108
332954-0090,5503,,S,297TH,ST,,,,AUBURN,WA,98001,134
790520-0235,3630,,,46TH,AVE,SW,,,SEATTLE,WA,98116,
612700-1200,2117,,,250TH,PL,SE,,,SAMMAMISH,WA,98075,
940711-1650,17315,,,430TH,AVE,SE,,,NORTH BEND,WA,98045,93
5235000080,7302,,,RIVERSIDE,DR,E,,,SUMNER,WA,98390,58
6023630240,6808,,,83RD,ST,E,,,PUYALLUP,WA,98371,81
7002732600,17614,,,131ST,ST,E,,,BONNEY LAKE,WA,98391,131
0420311053,8520,,,WOODLAND,AVE,E,,,PUYALLUP,WA,98371,
043150-0335,7308,,,44TH,AVE,NE,,,SEATTLE,WA,98115,46
5050000800,2527,,,185TH,AVE,E,,,LAKE TAPPS,WA,98391,248
342205-9010,28110,,,134TH,PL,SE,,,KENT,WA,98042,125
30052100301500,3805,,,80TH,ST,NE,,,MARYSVILLE,WA,98270,85
156220-0480,15029,,NE,16TH,ST,,,,BELLEVUE,WA,98007,186
6023771030,9005,,,191ST,ST,E,,,PUYALLUP,WA,98375,
5000440160,3401,,,227TH STREET,CT,E,,,SPANAWAY,WA,98387,34
507230-0220,325,,SW,177TH,ST,,,,NORMANDY PARK,WA,98166,94
374760-0110,102,,,I,ST,SE,,,AUBURN,WA,98002,42
01131600000200,20118,,,107TH,PL,SE,,,SNOHOMISH,WA,98290,97
00557100403300,23201,,,TIGER CREEK,RD,,,,GRANITE FALLS,WA,98252,162
928610-0140,147,,,SUNSET,CT,NW,,,ISSAQUAH,WA,98027,207
00417100001800,4824,,,HARBOR,LN,,,,EVERETT,WA,98203,111
358900-2650,588,,,BELL,ST,,UNIT,2708,SEATTLE,WA,98121,72
321157-0560,15214,,NE,8TH,ST,,APT,G6,BELLEVUE,WA,98007,132
7116000900,2410,,,26TH,ST,SE,,,PUYALLUP,WA,98374,59
524980-4095,5122,,S,ANGELINE,ST,,,,SEATTLE,WA,98118,217
815060-0085,5953,,,34TH,AVE,SW,,,SEATTLE,WA,98126,53
00544701301501,6703,,,LOMBARD,AVE,,,,EVERETT,WA,98203,
00603300001000,17904,,,157TH,PL,SE,,,MONROE,WA,98272,122
